rel_aff_p_brn_ovs_no_religion_pr100, age_p_brn_ovs_25_29_yrs_num, age_p_brn_ovs_45_49_yrs_num, age_p_brn_ovs_55_59_yrs_num, eng_prof_p_brn_ovs_proficient_eng_pr100, occ_p_brn_ovs_mach_ops_drivers_pr100, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud1_aud499wk_pr100, age_p_brn_ovs_30_34_yrs_num, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud1000_aud1999wk_pr100, rel_aff_p_brn_ovs_oth_religion_pr100, pop_p_brn_ovs_num_f_num, age_p_brn_ovs_50_54_yrs_num, citizenship_status_p_brn_ovs_citizenship_ns_pr100, yr_arrival_p_brn_ovs_arrived_5_yrs_pr100, occ_p_brn_ovs_tech_trades_wrkers_pr100, qualf_p_brn_ovs_edu_ns_pr100, gcc_code16, rel_aff_p_brn_ovs_religion_ns_pr100, age_p_brn_ovs_10_14_yrs_num, gcc_name16, citizenship_status_p_brn_ovs_aus_citizen_pr100, age_p_brn_ovs_5_9_yrs_num, pop_p_brn_ovs_tot_pop_num, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_negative_inc_pr100, lbr_frc_stat_p_brn_ovs_unemp_num, age_p_brn_ovs_20_24_yrs_num, occ_p_brn_ovs_pros_pr100, rel_aff_p_brn_ovs_buddhism_pr100, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud3000_plswk_pr100, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_inc_ns_pr100, rel_aff_p_brn_ovs_sec_bels_oth_sprt_blfs_no_rel_aff_pr100, age_p_brn_ovs_75_79_yrs_num, age_p_brn_ovs_60_64_yrs_num, qualf_p_brn_ovs_postgrad_degree_lvl_pr100, ogc_fid, lbr_frc_stat_p_brn_ovs_ptic_rt_pr100, citizenship_status_p_brn_ovs_no_aus_citizen_pr100, qualf_p_brn_ovs_grad_dip_grad_certificate_lvl_pr100, lbr_frc_stat_p_brn_ovs_unemp_rt_pr100, rel_aff_p_brn_ovs_christianity_pr100, occ_p_brn_ovs_occ_ns_pr100, age_p_brn_ovs_80_84_yrs_num, age_p_brn_ovs_0_4_yrs_num, occ_p_brn_ovs_managers_pr100, yr_arrival_p_brn_ovs_arrived_ov_10_yrs_ago_pr100, pop_p_brn_ovs_num_m_num, occ_p_brn_ovs_cmty_p_wrkers_pr100, rel_aff_p_brn_ovs_hinduism_pr100, age_p_brn_ovs_35_39_yrs_num, rel_aff_p_brn_ovs_judaism_pr100, lbr_frc_stat_p_brn_ovs_lbr_frc_num, qualf_p_brn_ovs_scl_edu_lvl_pr100, occ_p_brn_ovs_sales_wrkers_pr100, qualf_p_brn_ovs_certificate_lvl_pr100, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud500_aud999wk_pr100, yr_arrival_p_brn_ovs_arrival_ns_pr100, qualf_p_brn_ovs_adv_dip_dip_lvl_pr100, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_aud2000_aud2999wk_pr100, age_p_brn_ovs_85_ov_num, age_p_brn_ovs_40_44_yrs_num, occ_p_brn_ovs_clrc_admt_wrkers_pr100, occ_p_brn_ovs_labourers_pr100, age_p_brn_ovs_65_69_yrs_num, eng_prof_p_brn_ovs_no_proficient_eng_pr100, age_p_brn_ovs_70_74_yrs_num, tot_p_inc_wk_p_brn_ovs_15_yrs_ov_p_earn_nil_inc_pr100, yr_arrival_p_brn_ovs_arrived_5_10_yrs_ago_pr100, rel_aff_p_brn_ovs_islam_pr100, age_p_brn_ovs_15_19_yrs_num, yr, eng_prof_p_brn_ovs_eng_prof_ns_pr100, qualf_p_brn_ovs_bachelor_degree_lvl_pr100
null,165020,141408,130560,84.7,3.6,27.4,192177,23.1,2.0,908745,144244,1.7,18.6,6.1,3.2,"1GSYD",3.8,38132,"Greater Sydney",61.4,32199,1769610,0.7,74816,111923,15.1,8.0,4.2,2.7,25.7,56269,113573,10.5,2,59.0,36.9,1.5,7.2,43.5,0.5,39762,16188,7.3,63.3,860867,5.2,7.7,171124,1.0,1043975,null,4.2,10.7,22.4,3.3,9.3,6.0,36678,148311,7.1,5.1,101724,14.6,73240,0.1,14.8,8.0,57086,"2016",0.8,22.4
null,15303,20939,24356,93.1,2.3,36.9,18084,18.1,1.6,152263,24342,2.2,12.7,5.7,5.8,"1RNSW",4.5,6672,"Rest of NSW",63.5,5770,295288,0.6,9759,10743,11.0,3.3,2.6,4.3,26.9,18593,24763,6.3,4,47.6,34.3,1.7,6.9,57.0,0.3,12491,2443,6.0,71.8,143023,5.3,2.8,18457,0.2,140704,null,3.0,18.7,24.7,4.7,9.6,3.9,11664,18706,4.7,5.8,30492,5.7,24178,0.1,10.9,3.2,7302,"2016",1.2,15.1
null,143256,108372,99600,85.9,3.7,30.3,165558,21.3,3.1,778995,108138,1.6,20.3,6.1,3.4,"2GMEL",3.8,39897,"Greater Melbourne",58.0,32509,1515597,0.8,72249,107955,13.2,8.4,2.8,3.0,25.3,56008,91736,9.3,6,55.7,40.4,1.9,8.6,43.5,0.4,41096,15454,6.3,59.6,736607,5.4,6.9,138211,1.1,844796,null,3.9,11.1,23.2,3.3,9.3,4.5,37104,114780,6.2,5.4,89617,13.3,67191,0.1,16.8,7.5,59108,"2016",0.7,20.1
null,8831,9976,12089,91.8,2.3,39.1,10293,16.6,2.0,80673,11761,2.3,12.6,5.4,6.4,"2RVIC",4.6,4094,"Rest of Vic.",60.7,3097,157625,0.7,5300,5788,10.1,3.5,2.2,4.8,26.8,10175,13274,5.2,8,46.3,37.0,2.0,7.3,55.2,0.4,6778,1278,6.2,69.6,76958,5.0,2.9,9552,0.1,73032,null,2.8,17.1,24.7,5.0,9.3,3.1,6316,9556,3.9,6.7,16909,6.8,13205,0.1,12.7,4.4,4673,"2016",1.4,13.8
null,53825,48999,39728,91.8,3.9,27.0,58663,23.8,2.2,304141,46495,1.9,18.8,6.8,3.3,"3GBRI",4.2,21892,"Greater Brisbane",54.5,16015,591344,0.7,30421,43799,13.4,5.1,3.1,2.6,30.4,16108,33717,8.2,10,60.5,43.6,1.7,8.5,48.6,0.4,10167,6102,6.3,58.6,287198,6.2,4.6,53743,0.2,357588,null,4.1,15.6,25.0,3.3,9.6,5.1,9525,50372,7.0,6.7,31820,7.5,22371,0.1,19.3,4.1,27986,"2016",0.7,18.5
null,28361,35526,32409,95.2,3.0,31.5,31419,21.0,1.5,219696,35934,1.8,15.4,7.6,4.4,"3RQLD",3.9,14637,"Rest of Qld",55.6,10159,419252,0.7,18447,20761,10.6,3.3,2.7,3.2,32.1,18050,29197,4.8,12,57.2,42.5,1.5,7.7,54.2,0.4,11246,3594,6.4,63.8,199560,6.9,2.3,31421,0.3,239722,null,4.6,19.9,27.1,3.8,10.6,4.1,9846,33033,5.8,7.2,32202,4.2,24805,0.1,17.1,1.9,16672,"2016",0.6,14.9
null,23255,23573,25048,88.9,2.5,36.2,27504,18.9,2.7,176109,26256,1.7,17.5,5.9,3.6,"4GADE",4.1,10448,"Greater Adelaide",61.9,7759,340314,0.7,16287,20290,11.1,5.6,2.0,2.8,26.9,16891,23418,7.5,14,50.3,36.4,1.7,9.5,48.7,0.3,13347,3183,5.0,63.2,164211,6.3,5.4,25487,0.2,171294,null,3.2,14.7,24.1,3.0,8.8,3.4,13111,22598,5.2,5.7,24815,10.4,19187,0.1,16.3,6.1,14151,"2016",0.7,16.8
null,1776,2694,4025,93.9,2.5,42.9,1961,15.3,1.8,21716,3829,2.1,10.4,5.3,6.8,"4RSAU",5.0,972,"Rest of SA",64.2,689,42368,0.7,1318,980,7.0,2.3,1.6,4.7,27.8,3253,4140,2.8,16,44.3,33.7,1.4,7.0,59.0,0.3,2134,246,5.6,74.5,20647,4.9,1.3,1942,0.1,18763,null,2.4,20.9,25.8,5.0,8.2,2.6,1762,2144,3.6,9.1,4870,4.9,4112,0.1,10.2,2.4,837,"2016",1.2,10.6
null,58260,58463,49433,93.3,3.7,26.2,69273,25.2,2.0,356887,58160,1.8,18.6,8.8,3.4,"5GPER",3.8,26002,"Greater Perth",59.0,19393,701335,0.7,36558,41246,12.9,5.1,4.4,2.7,27.1,22607,42314,6.6,18,61.2,39.2,1.8,8.5,52.1,0.3,15631,6837,6.3,58.2,344447,6.4,4.4,61444,0.4,429080,null,4.2,16.9,21.9,2.8,10.3,6.7,14120,57010,6.8,5.9,41019,6.1,29586,0.1,20.3,4.7,30548,"2016",0.7,18.6
null,6397,8368,8159,95.9,6.0,26.2,7815,24.7,0.9,45856,9022,1.8,15.9,10.8,5.1,"5RWAU",4.3,3047,"Rest of WA",55.3,2223,93351,0.7,3085,3397,9.9,2.9,5.3,3.9,30.9,3473,6594,3.5,20,62.3,43.0,1.6,5.3,56.9,0.3,2132,773,7.0,61.0,47495,6.3,1.7,7542,0.1,58173,null,3.7,22.5,22.4,4.5,10.1,8.7,1865,7616,5.4,9.0,6971,2.8,5096,0.1,18.5,1.8,2854,"2016",1.2,14.1
